pHsoil,Ecsoil,CECsoil,OC,Ptemp, C,N,H,O,pHbc,Ecbc,Ash,SSA,ITCC,BCC,SMC,BCAR,IT,CIE
6.8,,,28890,,75.84,0.15,2.53,19.93,9.98,,,790,2.1,0,70,2,45,22.36180905
5.93,0.698,21.36,19520,600,,,,,,,,47.2,3,0,60,4,7,-36.40734375
4.34,0.09,3.64,2200,600,24.99,0.38,1.22,10.31,10.88,0.47,62.74,35.97,0.5,0.35,,10,180,28.57142857
4.43,,11.3,29800,300,67.7,1.6,4.1,23.3,8.6,,5.8,6.5,2.2,0,70,3,365,35.34058782
5.33,0.076,7.03,4390.6,400,54.98,1.5,2.24,13.28,10.41,8.89,28,2.01,7.21,0.48,70,3,60,49.97
5.7,0.15,11.7,4872,500,20.5,2.6,,,10.2,0.82,,,4.8,0.02,75,0.5,56,22.6
5.93,0.698,21.36,19520,600,,,,,,,,41.1,3,0,60,4,1,15.49553506
7.3,0.25,11.3,18300,600,24.99,0.38,1.22,10.31,10.88,0.47,62.74,35.97,1.81,0.35,,10,180,18.18181818
5.93,0.698,21.36,19520,600,,,,,,,,50.8,3,0,60,4,7,30.06999975
5.33,0.076,7.03,4390.6,400,48.57,1.83,2.6,15,10.13,5.56,32,2.3,7.21,0.68,70,1,28,18.33
7.7,0.72,,,450,69.23,0.82,2.81,,7.6,0.74,31.1,8.3,20.9,0,70,2.5,30,-0.412974037
6.7,,,3320,300,10.86,0.4,0.46,3.85,10.17,,84.43,20.75,1.8,0,70,5,77,23.17073171
4.43,,11.3,29800,300,73.3,0.3,2.6,22.9,9.1,,1.1,5.6,2.2,0,70,3,365,23.07495169
5.5,,11.63,29210,700,82.25,1.86,2.87,13.02,10.63,,36.81,,"1.18	","	0.25",70,4,120,-15.96638655
